Category: Apartments & Residential Rentals,,
,,
Week,Geo: United States,
2007/4/15,80,887
2007/4/22,82,887
2007/4/29,87,887
2007/5/6,79,842
2007/5/13,80,842
2007/5/20,78,842
2007/5/27,77,842
2007/6/3,82,793
2007/6/10,78,793
2007/6/17,79,793
2007/6/24,82,793
2007/7/1,79,778
2007/7/8,87,778
2007/7/15,87,778
2007/7/22,86,778
2007/7/29,85,778
2007/8/5,84,699
2007/8/12,81,699
2007/8/19,78,699
2007/8/26,71,699
2007/9/2,68,686
2007/9/9,66,686
2007/9/16,67,686
2007/9/23,64,686
2007/9/30,65,686
2007/10/7,64,727
2007/10/14,63,727
2007/10/21,59,727
2007/10/28,62,727
2007/11/4,60,641
2007/11/11,57,641
2007/11/18,46,641
2007/11/25,58,641
2007/12/2,58,619
2007/12/9,54,619
2007/12/16,52,619
2007/12/23,54,619
2007/12/30,69,619
2008/1/6,73,627
2008/1/13,68,627
2008/1/20,69,627
2008/1/27,71,627
2008/2/3,68,593
2008/2/10,65,593
2008/2/17,68,593
2008/2/24,67,593
2008/3/2,70,535
2008/3/9,67,535
2008/3/16,67,535
2008/3/23,71,535
2008/3/30,73,535
2008/4/6,72,536
2008/4/13,70,536
2008/4/20,70,536
2008/4/27,75,536
2008/5/4,72,504
2008/5/11,70,504
2008/5/18,67,504
2008/5/25,68,504
2008/6/1,73,487
2008/6/8,68,487
2008/6/15,69,487
2008/6/22,71,487
2008/6/29,67,487
2008/7/6,73,477
2008/7/13,74,477
2008/7/20,74,477
2008/7/27,74,477
2008/8/3,75,435
2008/8/10,71,435
2008/8/17,66,435
2008/8/24,65,435
2008/8/31,59,435
2008/9/7,57,433
2008/9/14,56,433
2008/9/21,58,433
2008/9/28,58,433
2008/10/5,56,393
2008/10/12,53,393
2008/10/19,50,393
2008/10/26,49,393
2008/11/2,49,389
2008/11/9,52,389
2008/11/16,48,389
2008/11/23,39,389
2008/11/30,50,389
2008/12/7,50,377
2008/12/14,44,377
2008/12/21,39,377
2008/12/28,54,377
